date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:13	31812/31812	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Jan%202020%2018:54:22%20GMT	https://capitol-soft.com/img/capitol.png	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/capitol.png	(from https://capitol-soft.com/)
11:49:14	40023/40023	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Jan%202023%2010:49:14%20GMT	https://capitol-soft.com/index.php	C:/My%20Web%20Sites/ayedi/capitol-soft.com/index-2.html	(from https://capitol-soft.com/)
11:49:14	40513/40513	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Jan%202023%2010:49:14%20GMT	https://capitol-soft.com/fr/	C:/My%20Web%20Sites/ayedi/capitol-soft.com/fr/index.html	(from https://capitol-soft.com/)
11:49:14	7917/7917	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Jan%202020%2018:58:58%20GMT	https://capitol-soft.com/css/slider.css	C:/My%20Web%20Sites/ayedi/capitol-soft.com/css/slider.css	(from https://capitol-soft.com/)
11:49:15	271583/271583	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:55:54%20GMT	https://capitol-soft.com/img/ERP1.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/ERP1.jpg	(from https://capitol-soft.com/)
11:49:15	238820/238820	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:55:37%20GMT	https://capitol-soft.com/img/aa2.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/aa2.jpg	(from https://capitol-soft.com/)
11:49:16	626578/626578	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:50:55%20GMT	https://capitol-soft.com/img/web.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/web.jpg	(from https://capitol-soft.com/)
11:49:16	358592/358592	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:50:39%20GMT	https://capitol-soft.com/img/wm.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/wm.jpg	(from https://capitol-soft.com/)
11:49:17	229917/229917	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:51:30%20GMT	https://capitol-soft.com/img/seo1.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/seo1.jpg	(from https://capitol-soft.com/)
11:49:17	285623/285623	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:51:36%20GMT	https://capitol-soft.com/img/plan.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/plan.jpg	(from https://capitol-soft.com/)
11:49:18	804541/804541	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:51:50%20GMT	https://capitol-soft.com/img/mission.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/mission.jpg	(from https://capitol-soft.com/)
11:49:18	89685/89685	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:51:33%20GMT	https://capitol-soft.com/img/product-features.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/product-features.jpg	(from https://capitol-soft.com/)
11:49:18	51416/51416	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Jan%202020%2018:57:16%20GMT	https://capitol-soft.com/img/products/restoslide.png	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/products/restoslide.png	(from https://capitol-soft.com/)
11:49:19	43168/43168	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Jan%202020%2018:57:23%20GMT	https://capitol-soft.com/img/products/medslide.png	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/products/medslide.png	(from https://capitol-soft.com/)
11:49:19	47305/47305	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Jan%202020%2018:56:59%20GMT	https://capitol-soft.com/img/products/transportslide.png	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/products/transportslide.png	(from https://capitol-soft.com/)
11:49:19	437033/437033	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:51:03%20GMT	https://capitol-soft.com/img/vision.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/vision.jpg	(from https://capitol-soft.com/)
11:49:20	49952/49952	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Jan%202020%2018:57:32%20GMT	https://capitol-soft.com/img/products/gymslide.png	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/products/gymslide.png	(from https://capitol-soft.com/)
11:49:20	55398/55398	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Jan%202020%2018:57:10%20GMT	https://capitol-soft.com/img/products/schoolslide.png	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/products/schoolslide.png	(from https://capitol-soft.com/)
11:49:21	54215/54215	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Jan%202020%2018:57:35%20GMT	https://capitol-soft.com/img/products/erpslide.png	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/products/erpslide.png	(from https://capitol-soft.com/)
11:49:21	73672/73672	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:56:36%20GMT	https://capitol-soft.com/img/personnel/hajer.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/personnel/hajer.jpg	(from https://capitol-soft.com/)
11:49:22	171533/171533	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:56:38%20GMT	https://capitol-soft.com/img/personnel/faiez.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/personnel/faiez.jpg	(from https://capitol-soft.com/)
11:49:22	171516/171516	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:56:45%20GMT	https://capitol-soft.com/img/personnel/adel.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/personnel/adel.jpg	(from https://capitol-soft.com/)
11:49:23	87001/87001	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:56:51%20GMT	https://capitol-soft.com/img/personnel/achref.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/personnel/achref.jpg	(from https://capitol-soft.com/)
11:49:23	155932/155932	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Jan%202020%2011:00:46%20GMT	https://capitol-soft.com/img/personnel/sahar.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/personnel/sahar.jpg	(from https://capitol-soft.com/)
11:49:23	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:24%20GMT	https://capitol-soft.com/+21644162995	C:/My%20Web%20Sites/ayedi/capitol-soft.com/+21644162995.29.delayed	(from https://capitol-soft.com/)
11:49:24	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:24%20GMT	https://capitol-soft.com/lib/jquery/jquery.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/jquery/jquery.min.js	(from https://capitol-soft.com/)
11:49:24	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:25%20GMT	https://capitol-soft.com/lib/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/jquery/jquery-migrate.min.2b.delayed	(from https://capitol-soft.com/)
11:49:25	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:25%20GMT	https://capitol-soft.com/lib/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/bootstrap/js/bootstrap.bundle.min.2c.delayed	(from https://capitol-soft.com/)
